User ID,Name,Role,Relevant Course,Certification Status,NFT Verification,NFT Tier,Years of Experience,Portfolio/GitHub,Education Level,University,Technical Skill Score,Soft Skill Score,Overall Assessment Score,Unnamed: 14,Course completed %,Skill Level,Total Progress (%),Total EP,Batch earned,Streak,total_days activated,Rank,time_spent (in hrs),course_learning
114,Nathan Lee,Robotics Engineer,Robotics & Autonomous Systems,Yes,Yes,Platinum,7,github.com/nathanrobotics,PhD,MIT,95,88,92,,11,Intermediate,94,16854,8,125,31,1,12.97,"Machine Learning for Beginners, iOS Development with Swift, Natural Language Processing (NLP)"
113,Mia Scott,Mobile App Developer,Android & iOS Development,Yes,Yes,Platinum,4,github.com/miamobile,Bachelor's,Stanford,90,85,88,,5,Advanced,91,16795,10,43,78,2,46.95,"Blockchain Development & Smart Contracts, Big Data Analytics with Hadoop, Digital Forensics & Incident Response, Machine Learning for Beginners, Ethical Hacking and Penetration Testing"
136,Jasmine Roberts,Blockchain Expert,Decentralized Apps & Smart Contracts,No,No,Silver,4,github.com/jasmineblockchain,Bachelor's,Carnegie Mellon,82,78,80,,9,Beginner,95,16305,9,116,156,3,18.79,"System Administration with Windows Server, iOS Development with Swift, Network Security Fundamentals"
132,Fiona Carter,AI Engineer,Deep Learning with TensorFlow,No,No,Silver,3,github.com/fionaai,Bachelor's,Stanford,84,80,82,,8,Beginner,81,16114,17,37,232,4,14.12,"Advanced C++ Programming, Web Application Security Testing, Network Automation with Python, Software Engineering Principles"
130,Diana Simmons,AI Hardware Engineer,AI Accelerator Chip Design,No,No,Silver,4,github.com/dianahardware,Master's,UC Berkeley,82,76,79,,5,Advanced,68,15887,7,64,170,5,24.35,"Game Development with Unity, Kubernetes and Docker for DevOps, Computer Vision with OpenCV, Web Application Security Testing"
103,Charlie Brown,Software Engineer,Full Stack Web Dev,Yes,Yes,Gold,2,github.com/charliesw,Bachelor's,Harvard,75,70,73,,4,Intermediate,87,15879,12,90,193,6,6.16,"SQL and Database Management, Kubernetes and Docker for DevOps, Android App Development with Kotlin"
137,Kyle Griffin,AI Research Scientist,Neural Networks & AI Research,Yes,Yes,Gold,8,github.com/kyleai,PhD,Oxford,94,90,92,,10,Beginner,96,15740,6,100,125,7,6.92,"Microsoft Azure Fundamentals, Serverless Computing with AWS Lambda, Digital Forensics & Incident Response, CI/CD Pipelines with Jenkins & GitHub Actions, Virtualization with VMware"
126,Zachary Brooks,AI Game Developer,AI in Game Development,No,No,Silver,2,github.com/zachgameai,Bachelor's,Yale,73,70,72,,10,Intermediate,91,15598,8,139,189,8,15.62,"Android App Development with Kotlin, Serverless Computing with AWS Lambda, VoIP & Telecommunications Systems"
117,Quinn Lewis,Penetration Tester,Offensive Security Expert,No,No,Silver,5,github.com/quinnpentest,Master's,Yale,85,79,82,,9,Advanced,71,15468,17,33,157,9,30.2,"Introduction to Python Programming, Serverless Computing with AWS Lambda, Mobile App Development with Flutter, Cyber Threat Intelligence"
118,Rachel Adams,AI Product Manager,AI in Product Management,Yes,Yes,Platinum,6,github.com/rachelpm,Bachelor's,Harvard,89,91,90,,11,Advanced,67,15357,6,55,123,10,35.71,"Terraform for Infrastructure as Code, System Administration with Windows Server, Advanced C++ Programming, Cyber Threat Intelligence, Software Engineering Principles"
152,Zane Foster,AI for Healthcare,AI in Medical Imaging,No,No,Silver,4,github.com/zanehealthai,Master's,Oxford,86,81,83,,6,Advanced,95,15337,16,92,158,11,49.99,"SQL and Database Management, Site Reliability Engineering (SRE), Terraform for Infrastructure as Code, ITIL & Service Management"
160,Holly Dawson,Big Data Security Specialist,Securing Data Pipelines,No,No,Silver,5,github.com/hollydatasec,Master's,Princeton,84,79,82,,8,Advanced,57,14119,8,21,101,12,9.75,"Advanced C++ Programming, Android App Development with Kotlin, Site Reliability Engineering (SRE), Networking Fundamentals (CCNA), Cloud Networking & Storage Solutions"
106,Frank Miller,DevOps Engineer,DevOps Professional Certification,Yes,Yes,Gold,7,github.com/frankdevops,PhD,Princeton,92,85,89,,6,Advanced,92,13784,17,119,186,13,42.57,"AI and Robotics, Game Development with Unity, Secure Coding Practices, Java for Beginners"
120,Tina Foster,AI Consultant,AI for Business,Yes,Yes,Gold,8,github.com/tinaai,Master's,Columbia,91,87,89,,7,Intermediate,83,13676,8,20,116,14,44.26,"Network Automation with Python, Terraform for Infrastructure as Code, System Administration with Windows Server"
134,Hannah Stewart,Software Developer,Java Full Stack Developer,No,No,Silver,2,github.com/hannahjava,Bachelor's,UC Berkeley,78,74,76,,5,Advanced,61,13533,6,114,49,15,26.7,"Cyber Threat Intelligence, AI and Robotics, Internet of Things (IoT) Fundamentals"
116,Patrick Young,Software Architect,Advanced System Design,Yes,Yes,Gold,10,github.com/patrickarch,PhD,Cambridge,98,92,95,,10,Intermediate,90,13341,13,107,20,16,35.82,"VoIP & Telecommunications Systems, Web Application Security Testing, Cloud Networking & Storage Solutions"
129,Christopher Reed,Software Engineering Manager,Advanced Software Leadership,Yes,Yes,Platinum,10,github.com/chrislead,Bachelor's,Cambridge,99,95,97,,10,Intermediate,74,13146,9,42,144,17,34.68,"Introduction to Cybersecurity, Game Development with Unity, Cloud Computing & DevOps, Site Reliability Engineering (SRE)"
143,Quincy Hughes,AI Ethics Consultant,Ethical AI & Bias Mitigation,Yes,Yes,Gold,6,github.com/quincyaiethics,PhD,Stanford,88,85,87,,6,Intermediate,78,13131,8,61,22,18,35.71,"Network Security Fundamentals, Web Development with HTML, CSS, and JavaScript, Mobile App Development with Flutter"
150,Xander Coleman,Mobile Security Specialist,Secure Mobile App Development,No,No,Silver,2,github.com/xandermobile,Bachelor's,Harvard,79,74,77,,4,Intermediate,56,13104,11,51,206,19,20.96,"Software Engineering Principles, Network Automation with Python, Data Structures & Algorithms, Java for Beginners, Cybersecurity & Ethical Hacking"
125,Yasmine Green,DevSecOps Engineer,Secure DevOps Certification,Yes,Yes,Platinum,8,github.com/yasminedevsec,Bachelor's,Princeton,93,88,91,,8,Beginner,51,13018,9,51,64,20,16.34,"Full-Stack Development with MERN, Data Science with Python, Mobile App Development with Flutter, Web Development with HTML, CSS, and JavaScript"
108,Henry Moore,Full Stack Developer,Web Development with React & Node,No,No,Silver,3,github.com/henryfstack,Bachelor's,Yale,78,72,75,,5,Beginner,77,12802,8,77,138,21,8.55,"AI and Robotics, Network Security Fundamentals, Cloud Networking & Storage Solutions"
